127.0.0.1 - - [19/Aug/2024:12:10:24 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:10:24 +0900] "GET /JavaScript/javascript/exam01.html HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:10:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:18:30 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:20:15 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:20:17 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:20:23 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:20:24 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:20:24 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:20:24 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:20:24 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:20:27 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:20:28 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:20:31 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:20:31 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:20:33 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:20:43 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:21:08 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:21:09 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:21:09 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:21:09 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:21:10 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:21:11 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:21:13 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:22:11 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:22:13 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:22:13 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:22:16 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:22:18 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:22:18 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:22:48 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:22:49 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:22:49 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:22:50 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:22:57 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:22:59 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:23:00 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:23:00 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:23:00 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:23:00 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:23:01 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:23:02 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:23:04 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:23:05 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:23:05 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:23:05 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:23:06 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:23:08 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:23:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:23:10 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:23:13 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:23:14 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:23:14 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:23:15 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:23:15 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:23:25 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:23:25 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:23:34 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:12:23:36 +0900] "GET /JavaScript/javascript/exam02.html HTTP/1.1" 304 -
