127.0.0.1 - - [20/Aug/2024:14:08:09 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Aug/2024:14:08:09 +0900] "GET /JavaScript/javascript/exam16-1.html HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [20/Aug/2024:14:08:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Aug/2024:14:08:27 +0900] "GET /JavaScript/javascript/exam16-1.html HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [20/Aug/2024:14:12:01 +0900] "GET /JavaScript/javascript/exam16-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2024:14:16:47 +0900] "GET /JavaScript/javascript/exam16-1.html HTTP/1.1" 200 912
0:0:0:0:0:0:0:1 - - [20/Aug/2024:14:17:00 +0900] "GET /JavaScript/javascript/exam16-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2024:14:17:04 +0900] "GET /JavaScript/javascript/exam16-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2024:14:18:26 +0900] "GET /JavaScript/javascript/exam16-1.html HTTP/1.1" 200 902
0:0:0:0:0:0:0:1 - - [20/Aug/2024:14:21:39 +0900] "GET /JavaScript/javascript/exam16-1.html HTTP/1.1" 200 926
0:0:0:0:0:0:0:1 - - [20/Aug/2024:14:21:53 +0900] "GET /JavaScript/javascript/exam16-1.html HTTP/1.1" 200 926
0:0:0:0:0:0:0:1 - - [20/Aug/2024:14:26:14 +0900] "GET /JavaScript/javascript/exam16-1.html HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [20/Aug/2024:14:26:15 +0900] "GET /JavaScript/javascript/exam16-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2024:14:26:17 +0900] "GET /JavaScript/javascript/exam16-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2024:14:26:17 +0900] "GET /JavaScript/javascript/exam16-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2024:14:26:18 +0900] "GET /JavaScript/javascript/exam16-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2024:14:26:19 +0900] "GET /JavaScript/javascript/exam16-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2024:14:26:20 +0900] "GET /JavaScript/javascript/exam16-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2024:14:26:20 +0900] "GET /JavaScript/javascript/exam16-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2024:14:26:34 +0900] "GET /JavaScript/javascript/exam16-1.html HTTP/1.1" 200 910
0:0:0:0:0:0:0:1 - - [20/Aug/2024:14:26:44 +0900] "GET /JavaScript/javascript/exam16-1.html HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [20/Aug/2024:14:26:56 +0900] "GET /JavaScript/javascript/exam16-1.html HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [20/Aug/2024:14:26:59 +0900] "GET /JavaScript/javascript/exam16-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2024:14:27:02 +0900] "GET /JavaScript/javascript/exam16-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2024:14:27:03 +0900] "GET /JavaScript/javascript/exam16-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2024:14:27:03 +0900] "GET /JavaScript/javascript/exam16-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2024:14:27:03 +0900] "GET /JavaScript/javascript/exam16-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2024:14:27:03 +0900] "GET /JavaScript/javascript/exam16-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2024:14:27:03 +0900] "GET /JavaScript/javascript/exam16-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2024:14:27:04 +0900] "GET /JavaScript/javascript/exam16-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2024:14:27:04 +0900] "GET /JavaScript/javascript/exam16-1.html HTTP/1.1" 304 -
