127.0.0.1 - - [13/Aug/2024:09:24:15 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Aug/2024:09:24:15 +0900] "GET /CSS/05_cssPositioning/exam02.html HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [13/Aug/2024:09:24:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Aug/2024:09:24:26 +0900] "GET /CSS/05_cssPositioning/exam02.html HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [13/Aug/2024:09:24:34 +0900] "GET /CSS/05_cssPositioning/exam02.html HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [13/Aug/2024:12:34:08 +0900] "GET /CSS/05_cssPositioning/practice03.html HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [13/Aug/2024:12:34:08 +0900] "GET /CSS/image/back.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2024:12:34:09 +0900] "GET /CSS/image/spade-7.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2024:12:35:15 +0900] "GET /CSS/05_cssPositioning/practice03.html HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [13/Aug/2024:12:35:15 +0900] "GET /CSS/05_cssPositioning/practice03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2024:12:35:16 +0900] "GET /CSS/05_cssPositioning/practice03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2024:12:35:16 +0900] "GET /CSS/05_cssPositioning/practice03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2024:12:35:17 +0900] "GET /CSS/05_cssPositioning/practice03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2024:12:35:18 +0900] "GET /CSS/05_cssPositioning/practice03.html HTTP/1.1" 304 -
